Campaign ID,Campaign Name,Prospect Status,Account ID,Account Name,domain,Country,Prospect ID,Opt-In,Opt-In Source,Opt-In Timestamp,Opt-Out Timestamp,Job Title,Prospect Source,opt_in_flag,opt_out_flag
FY23-Q3-global-PROD461-annual_summer_clearance,Annual Summer Clearance,No Show,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000jYUa5rQAJ,Yes,event registration,2025-09-27 06:11:00,,Digital and Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-spring_break_sale,Spring Break Sale,No Show,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000mhebC7QAI,Yes,referral program,2025-09-27 06:11:00,,Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-spring_break_sale,Spring Break Sale,No Show,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000pxiPLUQA2,Yes,email subscription,2025-04-08 06:11:00,,Data Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-year_end_clearance,Year End Clearance,Registered,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000pHLGuwQAH,,online contest entry,2025-04-08 06:11:00,,Data Analytics Specialist,Advertisement,1,0
FY23-Q3-global-PROD461-summer_clearance_sale,Summer Clearance Sale,No Show,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000NvV4PMQA1,Yes,website form,2025-03-17 06:11:00,,Technical Business Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-year_end_clearance,Year End Clearance,Registered,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000q5VhH5QAJ,Yes,newsletter subscription,2025-03-17 06:11:00,,Senior Data Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-fall_favorites_discounts,Fall Favorites Discounts,Responded,0014M0000mXuCYxQAN,Alpha Innovations,alphainnov.biz,ITA,0034M0000f8FZNTQA2,,newsletter subscription,2025-03-17 06:11:00,,Business Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_sizzle_sale,Summer Sizzle Sale,No Show,0014M0000ZxU4HfQAL,Silverstone Innovations,silverstoneinnovations.net,GBR,0034M0000ql6GHWQA0,Yes,website form,2023-12-18 06:11:00,,Data Analyst,Social Media,1,0
FY23-Q3-global-PROD461-summer_blowout,Summer Blowout,Registered,0014M0000ZJwBVJQA10,Stellar Innovations,stellarinnov.org,FRA,0034M0000rEsL4XQAZ,Yes,online contest entry,2023-12-14 06:11:00,,Senior Benefits Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_blowout_sale,Summer Blowout Sale,No Show,0014M0000Da9uXsQAJ,Aurora Enterprises,auroraenterprises.biz,USA,0034M0000oZ1mwuQAB,Yes,website form,2023-12-10 06:11:00,,Principal IS Business Systems Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-labor_day_blowout,Labor Day Blowout,No Show,0014M0000eMRa3aQAD,Horizon Technologies,horizontechnologies.net,JPN,0034M0000oQqnvYQAZ,Yes,online contest entry,2023-12-06 06:11:00,,Head of Consumer Data Analytics and Data leader in the Digital Transformation program,Advertisement,1,0
FY23-Q3-global-PROD461-autumn_bounty_sale,Autumn Bounty Sale,No Show,0014M0000Ry0LPOQA3,Saturn Enterprises,saturnenterprises.org,USA,0034M0000kkN0bZQAZ,Yes,,2023-12-02 06:11:00,,Technology Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-winter_wonderland,Winter Wonderland,No Show,0014M0000Mi6XelQAF,Eclipse Technologies,eclipsetechnologies.biz,USA,0034M0000mJDDrFQAX,Yes,referral program,2023-11-30 06:11:00,,Its Information Security Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-halloween_special,Halloween Special,No Show,0014M0000ZC9WpeQAD,Galaxy Technologies,galaxytechnologies.net,GBR,0034M0000qpFPoOQAX,Yes,email subscription,2023-11-30 06:11:00,,"Vice President, Payment Integrity Analytics",Trade Show,1,0
FY23-Q3-global-PROD461-back_to_school_sale,Back to School Sale,No Show,0014M0000PHi1oQAD,Cygnus Solutions,cygnussolutions.net,GBR,0034M0000rVlVhFQAZ,Yes,email subscription,2023-11-30 06:11:00,,HR Solutions Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-spring_flower_sale,Spring Flower Sale,Responded,0014M0000mfyJbZQAY,Bluebird Innovations,bluebirdinnovations.net,MEX,0034M0000tWd3XWQAY,Yes,referral program,2023-11-30 06:11:00,,Data Analyst and Statistician II,Advertisement,1,0
FY23-Q3-global-PROD461-summer_savings_extravaganza,Summer Savings Extravaganza,Registered,0014M0000M58JzQQAV,Phoenix Technologies,phoenixtechnologies.org,USA,0034M0000r0Gi2XQAV,Yes,referral program,2023-11-30 06:11:00,,Data & Digital Analytics Senior Business Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-march_madness_sale,March Madness Sale,No Show,0014M0000Mi6XelQAF,Eclipse Technologies,eclipsetechnologies.biz,USA,0034M0000cfHkWZQAY,Yes,online contest entry,2023-11-30 06:11:00,,Director Analytics,Trade Show,1,0
FY23-Q3-global-PROD461-summer_super_sale,Summer Super Sale,No Show,0014M0000mfyJbZQAY,Bluebird Innovations,bluebirdinnovations.net,MEX,0034M0000r6joz3QAB,Yes,online contest entry,2023-11-28 06:11:00,,IA Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-halloween_haunt,Halloween Haunt,No Show,0014M0000GNNRu6QAH,Neptune Enterprises,neptuneenterprises.org,CHN,0034M0000o1q82DQAZ,Yes,social media campaign,2023-11-26 06:11:00,,Cyber Security Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_super_sale,Summer Super Sale,No Show,0014M0000iqRksQQAT,Nimbus Innovations,nimbusinnovations.org,CAN,0034M0000qBZYZaQAX,Yes,event registration,2023-11-26 06:11:00,,"Accounting, Social Media",Trade Show,1,0
FY23-Q3-global-PROD461-summer_savings_bonanza,Summer Savings Bonanza,No Show,0014M0000UsZgoUQAT,Proxima Technologies,proximatech.org,IND,0034M0000oJK5E5QAJ,Yes,newsletter subscription,2023-11-26 06:11:00,,Senior Partner Operations Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-spring_fling_savings,Spring Fling Savings,No Show,0014M0000F1o6QgQAJ,Pegasus Solutions,pegasussolutions.net,USA,0034M0000iVpeWwQAI,Yes,social media campaign,2023-11-26 06:11:00,,Assistant Operation Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_blowout_sale,Summer Blowout Sale,No Show,0014M0000IZJZKtQAX,Vertex Corporation,vertexcorp.net,JPN,0034M0000p1u9QZQAY,Yes,newsletter subscription,2023-11-26 06:11:00,,"Crew Resources & Operations Analytics, Flight Operations Head",Advertisement,1,0
FY23-Q3-global-PROD461-springtime_savings,Springtime Savings,No Show,0014M0000XfxzVbQAJ,Nova Enterprises,novaenterprises.net,IND,0034M0000sxSDjkQAJ,Yes,,2023-11-24 06:11:00,,Payroll Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_super_sale,Summer Super Sale,No Show,0014M0000ouJwBZQAY,Omega Enterprises,omegaenterprises.net,ESP,0034M0000N9kV5RQAV,Yes,,2023-11-22 06:11:00,,Senior Business Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_clearance_event,Summer Clearance Event,No Show,0014M0000kYyeJhQAJ,Hyperion Enterprises,hyperionenterprises.biz,USA,0034M0000j7OXsGQAZ,Yes,online purchase,2023-11-22 06:11:00,,Application Analyst I,Advertisement,1,0
FY23-Q3-global-PROD461-springtime_savings,Springtime Savings,No Show,0014M0000BhE6DqQAL,Aquarius Systems,aquariussystems.biz,CAN,0034M0000qprNE7QAZ,Yes,online purchase,2023-11-22 06:11:00,,Manager at BearingPoint | Data & Analytics team,Advertisement,1,0
FY23-Q3-global-PROD461-winter_discount_extravaganza,Winter Discount Extravaganza,No Show,0014M0000Kuiz6SQAR,Astra Dynamics,astradynamics.org,GBR,0034M0000VFWiDdQAL,Yes,website form,2023-11-22 06:11:00,,Data Analyst - Consultant,Advertisement,1,0
FY23-Q3-global-PROD461-halloween_clearance,Halloween Clearance,No Show,0014M0000yOAtZxQAJ,Omega Innovations,omegainnovations.org,CHN,0034M0000aMOuFKQA1,Yes,website form,2023-11-22 06:11:00,,Senior Programmer Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_clearance_sale,Summer Clearance Sale,Responded,0014M0000bduD7mQAE,Bluebird Technologies,bluebirdtech.net,CAN,0034M0000pX7PrBQAV,Yes,online purchase,2023-11-22 06:11:00,,Business Systems Analyst,Referral,1,0
FY23-Q3-global-PROD461-springtime_savings,Springtime Savings,No Show,0014M0000ZxU4HfQAL,Silverstone Innovations,silverstoneinnovations.net,GBR,0034M0000XNnK3IQAX,Yes,email subscription,2023-11-20 06:11:00,,Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-back_to_school_discounts,Back to School Discounts,No Show,0014M0000HCVQJZQA9,Cygnus Solutions,cygnussolutions.org,ESP,0034M0000qG9GrsQAF,Yes,newsletter subscription,2023-11-18 06:11:00,,Senior Technical Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-annual_summer_clearance,Annual Summer Clearance,No Show,0014M0000WoxXbvQAJ,Infinity Solutions,infinitysolutions.net,USA,0034M0000p7a9aiQAB,Yes,newsletter subscription,2023-11-18 06:11:00,,Senior Epic Application Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-fall_festival_special,Fall Festival Special,No Show,0014M0000Gf3ZCQQA3,Zenith Corporation,zenithcorporation.biz,DEU,0034M0000oyodtFQAQ,Yes,event registration,2023-11-18 06:11:00,,Revenue Analyst,Referral,1,0
FY23-Q3-global-PROD461-spring_break_sale,Spring Break Sale,No Show,0014M0000mWwbZ7QAJ,Elysium Innovations,elysiuminnovations.net,USA,0034M0000qqFWkAQAX,Yes,social media campaign,2023-11-18 06:11:00,,Medical Device Reporting Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-annual_fall_sale,Annual Fall Sale,No Show,0014M0000F1o6QgQAJ,Pegasus Solutions,pegasussolutions.net,USA,0034M0000jltHHVQAY,Yes,social media campaign,2023-11-18 06:11:00,,Chief Technology Officer & Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-winter_wonderland_sale,Winter Wonderland Sale,No Show,0014M0000kYyeJhQAJ,Hyperion Enterprises,hyperionenterprises.biz,USA,0034M0000oFPcdaQAD,Yes,newsletter subscription,2023-11-18 06:11:00,,"Team Lead, Northwest Region Data Analytics & Cloud Applications",Advertisement,1,0
FY23-Q3-global-PROD461-annual_halloween_sale,Annual Halloween Sale,Attended,0014M0000eMRa3aQAD,Horizon Technologies,horizontechnologies.net,JPN,0034M0000qHw3RgQAJ,Yes,,2023-11-16 06:11:00,,Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-labor_day_blowout,Labor Day Blowout,No Show,0014M0000Ri9Qe6QAF,Zenith Solutions,zenithsolutions.net,CHN,0034M0000k6ZHT2QAM,Yes,social media campaign,2023-11-14 06:11:00,,Venture Capital Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-winter_wonderland,Winter Wonderland,No Show,0014M0000ouJwBZQAY,Omega Enterprises,omegaenterprises.net,ESP,0034M0000o3RnQkQAJ,Yes,social media campaign,2023-11-14 06:11:00,,IT & Web Development Team Business Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-cyber_monday_blowout,Cyber Monday Blowout,No Show,0014M0000HV1I3QQAT,Titan Technologies,titantechnologies.net,MEX,0034M0000Gpz7scQAB,Yes,newsletter subscription,2023-11-14 06:11:00,,Analyst - IT Systems,Advertisement,1,0
FY23-Q3-global-PROD461-summer_savings_extravaganza,Summer Savings Extravaganza,Registered,0014M0000QcfBr7QAJ,Orion Dynamics,oriondynamics.biz,USA,0034M0000rEOa5aQAD,Yes,social media campaign,2023-11-14 06:11:00,,Senior Operations Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-back_to_school_sale,Back to School Sale,No Show,0014M0000C3Gz3EQAT,Blue Sky Solutions,blueskysolutions.org,CAN,0034M0000pquWgNQAY,Yes,event registration,2023-11-14 06:11:00,,Technology Production Support Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-halloween_savings_bash,Halloween Savings Bash,No Show,0014M0000T1fw5LQAR,Elite Systems Inc.,elitesysinc.biz,BRA,0034M0000rCuf6LQAZ,Yes,event registration,2023-11-14 06:11:00,,"Healthcare Data Analyst, Sales Engineer",Trade Show,1,0
FY23-Q3-global-PROD461-annual_fall_sale,Annual Fall Sale,Attended,0014M0000FftR9BQAV,Nova Dynamics,novadynamics.info,MEX,0034M0000tOFKkfQAH,Yes,email subscription,2023-11-12 06:11:00,,Senior Knowledge Management Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_splash_sale,Summer Splash Sale,No Show,0014M0000BRcYV1QAL,Horizon Technologies,horizontech.biz,USA,0034M0000pLOcW3QAJ,Yes,online purchase,2023-11-10 06:11:00,,Senior Contract Management At Akamai Technologies Billing Analyst II,Advertisement,1,0
FY23-Q3-global-PROD461-annual_summer_clearance,Annual Summer Clearance,Responded,0014M0000IZJZKtQAX,Vertex Corporation,vertexcorp.net,JPN,0034M0000YqDhzMQAV,Yes,online purchase,2023-11-10 06:11:00,,Efs Billing Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-autumn_blowout_sale,Autumn Blowout Sale,No Show,0014M0000Ry0LPOQA9,Saturn Enterprises,saturnenterprises.org,USA,0034M0000rSjPJcQAZ,Yes,online purchase,2023-11-10 06:11:00,,Senior Oracle EBS Java Developer & Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-summer_splash_sale,Summer Splash Sale,No Show,0014M0000FftR9BQAV,Nova Dynamics,novadynamics.info,MEX,0034M0000q4nE7cQAJ,Yes,,2023-11-10 06:11:00,,Associate Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_sizzle_sale,Summer Sizzle Sale,No Show,0014M0000XfxzVbQAJ,Nova Enterprises,novaenterprises.net,IND,0034M0000o2lUR2QAI,Yes,,2023-11-10 06:11:00,,analyst,Trade Show,1,0
FY23-Q3-global-PROD461-spring_break_sale,Spring Break Sale,No Show,0014M0000ExwOU5QAL,Solaris Innovations,solarisinnovations.org,ESP,0034M0000lkb0FJxQA,Yes,website form,2023-11-10 06:11:00,,Lead Application Analyst,Referral,1,0
FY23-Q3-global-PROD461-end_of_summer_clearance,End of Summer Clearance,Attended,0014M0000HsLYfhQAH,Aurora Systems,aurorasystems.biz,USA,0034M0000quf48pQAI,Yes,,2023-11-10 06:11:00,,Analyst - Business,Advertisement,1,0
FY23-Q3-global-PROD461-winter_discount_extravaganza,Winter Discount Extravaganza,No Show,0014M0000Wnj8WrQAJ,Astral Solutions,astralsolutions.net,IND,0034M0000XhJZwvQAH,Yes,online contest entry,2023-11-08 06:11:00,,Client Relationship Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-fall_fashion_frenzy,Fall Fashion Frenzy,No Show,0014M0000C3Gz3EQAT,Blue Sky Solutions,blueskysolutions.org,CAN,0034M0000ZmoJgKQAX,Yes,email subscription,2023-11-08 06:11:00,,"""Manager, Marketing Analytics& Data Governance""",Advertisement,1,0
FY23-Q3-global-PROD461-spring_blowout_sale,Spring Blowout Sale,Registered,0014M0000ouJwBZQAY,Omega Enterprises,omegaenterprises.net,ESP,0034M0000o4vNTFQA2,Yes,online contest entry,2023-11-08 06:11:00,,Business Intelligence Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_splash_event,Summer Splash Event,No Show,0014M0000yOAtZxQAJ,Omega Innovations,omegainnovations.org,CHN,0034M0000qnN1VZQAZ,Yes,online contest entry,2023-11-08 06:11:00,,Data manager & MI analyst,Advertisement,1,0
FY23-Q3-global-PROD461-march_madness_sale,March Madness Sale,No Show,0014M0000Mi6XelQAF,Eclipse Technologies,eclipsetechnologies.biz,USA,0034M0000hnHb7DQAV,Yes,email subscription,2023-11-08 06:11:00,,Strategy and Analytics Manager,Advertisement,1,0
FY23-Q3-global-PROD461-halloween_bash,Halloween Bash,No Show,0014M0000BhE6DqQAL,Aquarius Systems,aquariussystems.biz,CAN,0034M0000rPcseFQAZ,Yes,referral program,2023-11-08 06:11:00,,"Senior Director of Development Data, Research, and Analysis",Advertisement,1,0
FY23-Q3-global-PROD461-annual_holiday_sale,Annual Holiday Sale,No Show,0014M0000XfxzVbQAJ,Nova Enterprises,novaenterprises.net,IND,0034M0000qoCmzvQAI,Yes,referral program,2023-11-06 06:11:00,,Data & Analytics Software Engineer,Advertisement,1,0
FY23-Q3-global-PROD461-summer_sizzler,Summer Sizzler,Responded,0014M0000ZxU4HfQAL,Silverstone Innovations,silverstoneinnovations.net,GBR,0034M0000goP9gXQAZ,Yes,online contest entry,2023-11-06 06:11:00,,Senior Business Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-annual_summer_clearance,Annual Summer Clearance,No Show,0014M0000bduD7mQAE,Bluebird Technologies,bluebirdtech.net,CAN,0034M0000otdC3KQAZ,Yes,online contest entry,2023-11-06 06:11:00,,Senior Data Architect (Enterprise Analytics),Trade Show,1,0
FY23-Q3-global-PROD461-annual_halloween_sale,Annual Halloween Sale,Attended,0014M0000Da9uXsQAJ,Aurora Enterprises,auroraenterprises.biz,USA,0034M0000tlzBfNQAU,Yes,email subscription,2023-11-06 06:11:00,,"""Data Consultant, Data Analytics & Strategic Outcomes""",Advertisement,1,0
FY23-Q3-global-PROD461-labor_day_blowout,Labor Day Blowout,Responded,0014M0000Wnj8WrQAJ,Astral Solutions,astralsolutions.net,IND,0034M0000qIdr98QAB,Yes,online contest entry,2023-11-06 06:11:00,,Systems Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-cyber_monday_sale,Cyber Monday Sale,Attended,0014M0000Ri9Qe6QAF,Zenith Solutions,zenithsolutions.net,CHN,0034M0000qs1DKmQAI,Yes,referral program,2023-11-06 06:11:00,,Program Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-autumn_bounty_sale,Autumn Bounty Sale,No Show,0014M0000fROl7NQAT,Terra Systems Inc.,terrasystemsinc.biz,ITA,0034M0000pN1rP3QAI,Yes,online contest entry,2023-11-04 06:11:00,,Sr. Web Application Developer/Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-thanksgiving_sale,Thanksgiving Sale,Attended,0014M0000M58JzQQAV,Phoenix Technologies,phoenixtechnologies.org,USA,0034M0000Xs5YjqQAJ,Yes,online contest entry,2023-11-04 06:11:00,,Systems Data Analyst,Referral,1,0
FY23-Q3-global-PROD461-labor_day_sale,Labor Day Sale,No Show,0014M0000FftR9BQAV,Nova Dynamics,novadynamics.info,MEX,0034M0000hMubSVQAY,Yes,online contest entry,2023-11-04 06:11:00,,Security Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-fall_harvest_sale,Fall Harvest Sale,No Show,0014M0000QcfBr7QAJ,Orion Dynamics,oriondynamics.biz,USA,0034M0000nUpQ9aQAJ,Yes,referral program,2023-11-04 06:11:00,,Data Science Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-annual_fall_clearance,Annual Fall Clearance,Registered,0014M0000Ri9Qe6QAF,Zenith Solutions,zenithsolutions.net,CHN,0034M0000o2qXAbQAI,Yes,referral program,2023-11-04 06:11:00,,Customer Insight Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_blowout_sale,Summer Blowout Sale,No Show,0014M0000FftR9BQAV,Nova Dynamics,novadynamics.info,MEX,0034M0000qI6bRJQAZ,Yes,referral program,2023-11-04 06:11:00,,Analytics Consultant,Advertisement,1,0
FY23-Q3-global-PROD461-summer_super_sale,Summer Super Sale,No Show,0014M0000mj44DgQAI,Silver Oak Enterprises,silveroakent.biz,ARGENTINA,0034M0000mNEJr5QAJ,Yes,email subscription,2023-11-02 06:11:00,,Social Media II,Advertisement,1,0
FY23-Q3-global-PROD461-fall_favorites_discounts,Fall Favorites Discounts,Responded,0014M0000WoxXbvQAJ,Infinity Solutions,infinitysolutions.net,USA,0034M0000LBozyvQAB,Yes,referral program,2023-11-02 06:11:00,,"Director, Care Analytics & Customer Experience Strategy",Advertisement,1,0
FY23-Q3-global-PROD461-summer_clearance_event,Summer Clearance Event,No Show,0014M0000HCVQJZQA19,Cygnus Solutions,cygnussolutions.org,ESP,0034M0000e1qjlIQAZ,Yes,referral program,2023-11-02 06:11:00,,"""Vice President, Financial Planning & Analysis""",Advertisement,1,0
FY23-Q3-global-PROD461-summer_savings_bonanza,Summer Savings Bonanza,No Show,0014M0000Ry0LPOQA10,Saturn Enterprises,saturnenterprises.org,USA,0034M0000q3DvvcQAJ,Yes,online contest entry,2023-11-02 06:11:00,,Junior Service Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-summer_festival_sale,Summer Festival Sale,No Show,0014M0000TxFw8VQAT,Solaris Corporation,solariscorporation.biz,ITA,0034M0000oTz0cuQAJ,Yes,online contest entry,2023-11-02 06:11:00,,Senior Systems Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-spring_flower_sale,Spring Flower Sale,No Show,0014M0000DkP01UQAZ,Apex Innovations,apexinnov.com,USA,0034M0000rKtwEnQAJ,Yes,email subscription,2023-11-02 06:11:00,,Sr. Data & Analytics Consultant,Advertisement,1,0
FY23-Q3-global-PROD461-spring_fling_savings,Spring Fling Savings,No Show,0014M0000iqRksQQAT,Nimbus Innovations,nimbusinnovations.org,CAN,0034M0000v8rsxFQAQ,Yes,referral program,2023-11-02 06:11:00,,Senior Servicing Operations Analyst,Referral,1,0
FY23-Q3-global-PROD461-annual_holiday_sale,Annual Holiday Sale,No Show,0014M0000IZJZKtQAX,Vertex Corporation,vertexcorp.net,JPN,0034M0000rJWv1nQAJ,Yes,online contest entry,2023-10-31 06:11:00,,Business Intelligence Analyst,Trade Show,1,0
FY23-Q3-global-PROD461-spring_clearance_event,Spring Clearance Event,No Show,0014M0000mj44DgQAI,Silver Oak Enterprises,silveroakent.biz,ARGENTINA,0034M0000K8IzwoQAD,Yes,email subscription,2023-10-31 06:11:00,,Dim Data Integrity Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-spring_sales_bonanza,Spring Sales Bonanza,Responded,0014M0000DkP01UQAZ,Apex Innovations,apexinnov.com,USA,0034M0000R9FJliQAD,Yes,referral program,2023-10-31 06:11:00,,GIS Data Analyst,Advertisement,1,0
FY23-Q3-global-PROD461-halloween_bash,Halloween Bash,No Show,0014M0000mWwbZ7QAJ,Elysium Innovations,elysiuminnovations.net,USA,0034M0000j1aYpGQAY,Yes,email subscription,2023-10-31 06:11:00,,Business Analysis Manager,Advertisement,1,0
FY23-Q3-global-PROD461-cyber_monday_madness,Cyber Monday Madness,No Show,0014M0000mj44DgQAI,Silver Oak Enterprises,silveroakent.biz,ARGENTINA,0034M0000rdmY1KQAU,Yes,online contest entry,2023-10-31 06:11:00,,Graduate Application Security Analyst,Advertisement,1,0
